beta,batch_size,lr,n_epochs,val_loss
0.0001,32,0.0001,800,302.13217049214376
0.0001,32,0.0002782559402207,800,300.9600438359958
0.0001,32,0.0007742636826811,800,304.82076457009384
0.0001,32,0.0021544346900318,800,302.92328712121764
0.0001,32,0.0059948425031894,800,327.8781181449321
0.0001,32,0.0166810053720005,800,
0.0001,32,0.0464158883361277,800,
0.0001,32,0.1291549665014882,800,
0.0001,32,0.3593813663804626,800,
0.0001,64,1e-05,800,329.63312137828154
0.0001,64,3.5938136638046256e-05,800,297.3893727695241
0.0001,64,0.0001291549665014,800,295.18695909836714
0.0001,64,0.0004641588833612,800,296.9772102131563
0.0001,64,0.0016681005372,800,321.73667503805723
0.0001,64,0.0059948425031894,800,325.9841006783878
0.0001,64,0.0215443469003188,800,
0.0001,64,0.0774263682681127,800,
0.0001,64,0.2782559402207126,800,
0.0001,64,1.0,800,
0.0001,128,1e-05,800,350.94199146943936
0.0001,128,3.5938136638046256e-05,800,306.7058437571806
0.0001,128,0.0001291549665014,800,294.0618519502528
0.0001,128,0.0004641588833612,800,295.2948303222656
0.0001,128,0.0016681005372,800,318.3949199003332
0.0001,128,0.0059948425031894,800,326.5025437298943
0.0001,128,0.0215443469003188,800,
0.0001,128,0.0774263682681127,800,
0.0001,128,0.2782559402207126,800,
0.0001,128,1.0,800,
0.0001,256,1e-05,800,355.9471893310547
0.0001,256,3.5938136638046256e-05,800,309.02218458387586
0.0001,256,0.0001291549665014,800,278.65607198079425
0.0001,256,0.0004641588833612,800,277.7377421061198
0.0001,256,0.0016681005372,800,300.5149875217014
0.0001,256,0.0059948425031894,800,307.7611295912001
0.0001,256,0.0215443469003188,800,286231.55815972225
0.0001,256,0.0774263682681127,800,
0.0001,256,0.2782559402207126,800,
0.0001,256,1.0,800,
0.0002782559402207,64,1e-05,800,329.37126305524043
0.0002782559402207,64,3.5938136638046256e-05,800,296.6180176454432
0.0002782559402207,64,0.0001291549665014,800,294.5260437236113
0.0002782559402207,64,0.0004641588833612,800,296.9919624328613
0.0002782559402207,64,0.0016681005372,800,316.78381830103257
0.0002782559402207,64,0.0059948425031894,800,326.50709578570195
0.0002782559402207,64,0.0215443469003188,800,
0.0002782559402207,64,0.0774263682681127,800,
0.001,64,1e-05,800,331.5439698836383
0.001,64,3.5938136638046256e-05,800,297.66130436168
0.001,64,0.0001291549665014884,800,297.43260159212
0.001,64,0.0004641588833612782,800,297.1153002346263
0.001,64,0.0016681005372000592,800,308.32994606915645
0.001,64,0.005994842503189409,800,324.52318079331343
0.001,64,0.021544346900318846,800,
0.001,64,0.07742636826811278,800,
0.001,64,0.2782559402207126,800,
0.001,64,1.0,800,
0.001,128,1e-05,800,352.1152146283318
0.001,128,3.5938136638046256e-05,800,307.69877804026885
0.001,128,0.0001291549665014884,800,295.4588928222656
0.001,128,0.0004641588833612782,800,296.4729039809283
0.001,128,0.0016681005372000592,800,298.3803441664752
0.001,128,0.005994842503189409,800,325.76354262408086
0.001,128,0.021544346900318846,800,
0.001,128,0.07742636826811278,800,
0.001,128,0.2782559402207126,800,
0.001,128,1.0,800,
0.001,256,1e-05,800,355.3272450764974
0.001,256,3.5938136638046256e-05,800,310.50832706027563
0.001,256,0.0001291549665014884,800,279.8314895629883
0.001,256,0.0004641588833612782,800,278.86035410563153
0.001,256,0.0016681005372000592,800,280.98572794596356
0.001,256,0.005994842503189409,800,305.0878677368164
0.001,256,0.021544346900318846,800,
0.001,256,0.07742636826811278,800,
0.001,256,0.2782559402207126,800,
0.001,256,1.0,800,
0.0021544346900318843,64,1e-05,800,342.03895164938535
